"","Hour","AverageMETs"
"1","00:00:00",10.8366246197859
"2","01:00:00",10.554725399046
"3","02:00:00",10.4022225450786
"4","03:00:00",10.1690397140842
"5","04:00:00",10.253026156203
"6","05:00:00",11.8918639018712
"7","06:00:00",12.9403597140675
"8","07:00:00",14.279845407842
"9","08:00:00",15.5082827379226
"10","09:00:00",16.1266954180009
"11","10:00:00",16.8765493140271
"12","11:00:00",16.6008510606231
"13","12:00:00",17.5921580740601
"14","13:00:00",17.4240539459041
"15","14:00:00",17.6161977260733
"16","15:00:00",16.0975462014244
"17","16:00:00",17.1901840309867
"18","17:00:00",18.6315926494959
"19","18:00:00",18.6730637453426
"20","19:00:00",18.2746253401684
"21","20:00:00",15.5033271416185
"22","21:00:00",14.5753558464699
"23","22:00:00",13.4137403797886
"24","23:00:00",11.8915733597528
